id_commande,date_commande,id_client,ville,categorie,nom_produit,prix_unitaire,quantite,remise,cout_livraison,methode_paiement,canal_marketing,cout_marketing,statut_commande,montant_brut,chiffre_affaires,taux_marge,marge_brute,profit_net,mois,indicateur_retour,nombre_commandes_par_client,valeur_vie_client
CMD100016,2025-12-15,C0329,Kinshasa,Mode,Produit_Mode_9,53.31,3,0.22,2.91,Virement,Instagram Ads,8.87,Livrée,159.93,124.7454,0.45,56.13543,44.355430000000005,2025-12,0,18,1369.7965
CMD100017,2025-09-02,C1103,Cotonou,Maison,Produit_Maison_38,144.22,3,0.09,9.72,Paiement à la livraison,Instagram Ads,14.82,Livrée,432.65999999999997,393.7206,0.3,118.11617999999999,93.57618,2025-09,0,3,892.7127
CMD100018,2025-10-11,C0070,Cotonou,Mode,Produit_Mode_49,30.98,3,0.27,3.29,Carte,Google Ads,6.21,Livrée,92.94,67.8462,0.45,30.53079,21.03079,2025-10,0,17,2751.9487999999997
CMD100019,2025-07-13,C0313,Dakar,Maison,Produit_Maison_39,86.14,3,0.29,5.59,Paiement à la livraison,Instagram Ads,14.74,Livrée,258.42,183.47820000000002,0.3,55.04346,34.713460000000005,2025-07,0,22,5876.8806
CMD100020,2025-07-17,C0305,Kinshasa,Maison,Produit_Maison_36,119.81,3,0.03,6.72,Virement,Google Ads,6.18,Livrée,359.43,348.6471,0.3,104.59413,91.69413,2025-07,0,16,5642.1036
CMD100021,2025-07-03,C0234,Douala,Maison,Produit_Maison_50,104.67,3,0.04,5.99,Virement,Email,1.5,Livrée,314.01,301.4496,0.3,90.43487999999999,82.94488,2025-07,0,21,5739.3765
CMD100022,2025-12-12,C0150,Lomé,Beauté,Produit_Beauté_1,10.73,2,0.05,8.82,Paiement à la livraison,Instagram Ads,14.28,Livrée,21.46,20.387,0.5,10.1935,-12.9065,2025-12,0,16,3910.7507
CMD100023,2025-09-06,C1560,Kinshasa,Électronique,Produit_Électronique_41,370.82,3,0.1,2.56,Carte,Instagram Ads,8.73,Livrée,1112.46,1001.214,0.15,150.1821,138.8921,2025-09,0,5,2062.581
CMD100024,2025-09-15,C1039,Dakar,Électronique,Produit_Électronique_24,243.32,2,0.07,8.47,Mobile Money,Influenceur,8.7,Livrée,486.64,452.57519999999994,0.15,67.88627999999999,50.71627999999998,2025-09,0,4,1123.3002
CMD100025,2025-08-11,C0398,Cotonou,Beauté,Produit_Beauté_39,18.99,1,0.05,2.41,Carte,Instagram Ads,11.28,Livrée,18.99,18.040499999999998,0.5,9.020249999999999,-4.6697500000000005,2025-08,0,13,2958.958
CMD100026,2025-09-21,C0057,Kinshasa,Maison,Produit_Maison_16,57.58,3,0.17,2.3,Virement,Instagram Ads,10.43,Livrée,172.74,143.3742,0.3,43.01226,30.28226,2025-09,0,16,3420.0787
CMD100027,2025-07-15,C0290,Abidjan,Beauté,Produit_Beauté_47,41.0,1,0.08,6.25,Carte,Email,1.43,Livrée,41.0,37.72,0.5,18.86,11.18,2025-07,0,21,3863.6962
CMD100028,2025-11-02,C1557,Dakar,Beauté,Produit_Beauté_9,8.8,1,0.16,5.43,Mobile Money,Instagram Ads,12.44,Livrée,8.8,7.392,0.5,3.696,-14.174,2025-11,0,1,7.392
CMD100029,2025-12-16,C0281,Kinshasa,Beauté,Produit_Beauté_14,26.49,2,0.11,9.64,Paiement à la livraison,Instagram Ads,10.49,Livrée,52.98,47.1522,0.5,23.5761,3.4460999999999995,2025-12,0,14,3626.2003
CMD100030,2025-11-16,C1412,Douala,Maison,Produit_Maison_29,66.93,2,0.24,8.84,Virement,Instagram Ads,5.14,Livrée,133.86,101.73360000000001,0.3,30.52008,16.54008,2025-11,0,3,418.9671
CMD100031,2025-11-10,C0126,Douala,Maison,Produit_Maison_38,193.75,2,0.08,9.59,Mobile Money,Google Ads,6.25,Livrée,387.5,356.5,0.3,106.95,91.11,2025-11,0,14,5561.4822
CMD100032,2025-08-26,C0362,Kinshasa,Maison,Produit_Maison_5,247.48,1,0.07,6.6,Mobile Money,Instagram Ads,11.42,Livrée,247.48,230.15639999999996,0.3,69.04691999999999,51.02691999999998,2025-08,0,13,3670.8608
CMD100033,2025-07-09,C0145,Dakar,Mode,Produit_Mode_43,41.26,1,0.1,4.19,Virement,Google Ads,6.26,Livrée,41.26,37.134,0.45,16.7103,6.260299999999999,2025-07,0,15,3317.8397
CMD100034,2025-11-02,C0067,Abidjan,Électronique,Produit_Électronique_16,413.24,3,0.13,2.95,Paiement à la livraison,Instagram Ads,13.45,Livrée,1239.72,1078.5564,0.15,161.78346,145.38346,2025-11,0,20,8476.4071
CMD100036,2025-10-17,C0373,Kinshasa,Beauté,Produit_Beauté_4,28.94,3,0.09,9.22,Carte,Influenceur,5.65,Livrée,86.82000000000001,79.0062,0.5,39.5031,24.633100000000006,2025-10,0,21,3863.3576000000003
CMD100037,2025-10-12,C1639,Kinshasa,Mode,Produit_Mode_13,17.09,2,0.07,9.65,Mobile Money,Instagram Ads,5.53,Livrée,34.18,31.787399999999998,0.45,14.30433,-0.8756700000000004,2025-10,0,4,612.8174
CMD100038,2025-08-18,C0071,Douala,Beauté,Produit_Beauté_5,18.17,1,0.1,2.73,Mobile Money,Instagram Ads,11.73,Livrée,18.17,16.353,0.5,8.1765,-6.2835,2025-08,0,15,3150.966
CMD100039,2025-10-22,C1753,Kinshasa,Mode,Produit_Mode_42,39.79,3,0.23,8.7,Carte,Instagram Ads,10.46,Livrée,119.37,91.9149,0.45,41.361705,22.201704999999997,2025-10,0,2,158.5347
CMD100040,2025-11-16,C1984,Cotonou,Maison,Produit_Maison_11,62.42,1,0.07,4.97,Mobile Money,Google Ads,7.93,Livrée,62.42,58.050599999999996,0.3,17.41518,4.515180000000001,2025-11,0,3,212.885
CMD100041,2025-10-13,C0109,Libreville,Beauté,Produit_Beauté_11,21.93,1,0.04,3.99,Carte,Email,1.22,Livrée,21.93,21.052799999999998,0.5,10.526399999999999,5.316399999999999,2025-10,0,8,1352.1399999999999
CMD100042,2025-10-06,C0199,Abidjan,Mode,Produit_Mode_19,31.39,2,0.08,9.7,Paiement à la livraison,Instagram Ads,6.18,Livrée,62.78,57.757600000000004,0.45,25.990920000000003,10.110920000000004,2025-10,0,12,2881.8779
CMD100043,2025-10-17,C1496,Kinshasa,Mode,Produit_Mode_10,17.62,1,0.29,6.22,Paiement à la livraison,Instagram Ads,5.12,Livrée,17.62,12.5102,0.45,5.629589999999999,-5.71041,2025-10,0,2,140.1902
CMD100044,2025-08-18,C0029,Kinshasa,Maison,Produit_Maison_48,138.95,2,0.1,7.9,Carte,Instagram Ads,7.94,Livrée,277.9,250.10999999999999,0.3,75.03299999999999,59.192999999999984,2025-08,0,12,4340.956099999999
CMD100048,2025-07-21,C0298,Abidjan,Beauté,Produit_Beauté_17,27.07,1,0.04,10.0,Virement,Email,0.58,Livrée,27.07,25.987199999999998,0.5,12.993599999999999,2.413599999999999,2025-07,0,14,2563.3229
CMD100049,2025-08-22,C0643,Douala,Maison,Produit_Maison_30,169.3,1,0.08,4.2,Virement,Google Ads,4.03,Livrée,169.3,155.75600000000003,0.3,46.726800000000004,38.4968,2025-08,0,3,687.3199999999999
CMD100050,2025-09-19,C1916,Cotonou,Électronique,Produit_Électronique_40,17.38,3,0.09,3.07,Paiement à la livraison,Email,1.34,Retournée,52.14,47.4474,0.15,7.11711,2.70711,2025-09,1,3,218.89979999999997
CMD100051,2025-11-22,C0150,Lomé,Électronique,Produit_Électronique_9,50.0,1,0.08,7.09,Virement,Google Ads,7.9,Livrée,50.0,46.0,0.15,6.8999999999999995,-8.09,2025-11,0,16,3910.7507
CMD100052,2025-09-28,C1800,Kinshasa,Mode,Produit_Mode_11,45.4,1,0.15,9.41,Virement,Google Ads,7.75,Livrée,45.4,38.589999999999996,0.45,17.365499999999997,0.20549999999999713,2025-09,0,5,1957.7008
CMD100053,2025-10-21,C1440,Abidjan,Mode,Produit_Mode_43,65.78,1,0.17,3.03,Carte,Influenceur,5.21,Livrée,65.78,54.5974,0.45,24.568830000000002,16.32883,2025-10,0,3,419.2319
CMD100054,2025-11-19,C0339,Kinshasa,Électronique,Produit_Électronique_17,443.99,1,0.1,3.35,Mobile Money,Influenceur,4.65,Retournée,443.99,399.591,0.15,59.938649999999996,51.938649999999996,2025-11,1,17,3790.4906
CMD100055,2025-07-30,C1520,Kinshasa,Électronique,Produit_Électronique_19,287.21,1,0.05,4.57,Virement,Email,1.84,Livrée,287.21,272.8495,0.15,40.92742499999999,34.51742499999999,2025-07,0,5,1475.8953999999999
CMD100056,2025-12-02,C0175,Douala,Électronique,Produit_Électronique_33,414.7,3,0.01,3.67,Virement,Influenceur,6.95,Livrée,1244.1,1231.6589999999999,0.15,184.74884999999998,174.12885,2025-12,0,10,3068.3158999999996
CMD100057,2025-11-03,C0026,Douala,Mode,Produit_Mode_18,69.6,2,0.18,7.5,Paiement à la livraison,Google Ads,3.74,Annulée,139.2,0.0,0.45,0.0,-3.74,2025-11,0,23,3084.2495
CMD100059,2025-10-22,C0218,Douala,Mode,Produit_Mode_35,15.11,2,0.1,5.45,Mobile Money,Google Ads,5.93,Livrée,30.22,27.198,0.45,12.2391,0.8591000000000006,2025-10,0,16,4811.5136
CMD100060,2025-07-10,C1192,Abidjan,Électronique,Produit_Électronique_9,567.49,2,0.17,4.92,Paiement à la livraison,Instagram Ads,8.3,Livrée,1134.98,942.0333999999999,0.15,141.30500999999998,128.08500999999998,2025-07,0,1,942.0333999999999
CMD100061,2025-07-11,C0020,Cotonou,Mode,Produit_Mode_44,50.0,2,0.09,9.86,Mobile Money,Instagram Ads,13.97,Livrée,100.0,91.0,0.45,40.95,17.120000000000005,2025-07,0,10,2223.4241
CMD100062,2025-09-02,C0724,Abidjan,Électronique,Produit_Électronique_40,330.79,2,0.09,3.5,Paiement à la livraison,Google Ads,4.4,Livrée,661.58,602.0378000000001,0.15,90.30567,82.40567,2025-09,0,4,1230.306
CMD100063,2025-08-09,C0484,Kinshasa,Mode,Produit_Mode_27,51.33,1,0.18,9.46,Mobile Money,Google Ads,3.44,Livrée,51.33,42.0906,0.45,18.94077,6.04077,2025-08,0,3,1373.7621
CMD100064,2025-07-07,C0170,Douala,Mode,Produit_Mode_18,28.78,1,0.1,8.08,Mobile Money,Instagram Ads,8.22,Livrée,28.78,25.902,0.45,11.6559,-4.6441,2025-07,0,16,5795.356
CMD100065,2025-08-10,C0221,Douala,Mode,Produit_Mode_15,7.92,3,0.08,9.93,Paiement à la livraison,Google Ads,5.04,Retournée,23.759999999999998,21.859199999999998,0.45,9.83664,-5.133360000000001,2025-08,1,12,2655.9458
CMD100066,2025-08-21,C0942,Abidjan,Électronique,Produit_Électronique_15,422.02,1,0.25,7.32,Mobile Money,Instagram Ads,7.02,Livrée,422.02,316.515,0.15,47.47725,33.137249999999995,2025-08,0,4,580.7244
CMD100067,2025-07-07,C0816,Abidjan,Mode,Produit_Mode_50,45.3,1,0.22,6.32,Carte,Email,1.57,Livrée,45.3,35.333999999999996,0.45,15.900299999999998,8.010299999999997,2025-07,0,2,59.31869999999999
CMD100068,2025-09-10,C0260,Douala,Mode,Produit_Mode_2,21.84,2,0.28,4.68,Virement,Email,0.68,Livrée,43.68,31.4496,0.45,14.15232,8.79232,2025-09,0,16,4818.3107
CMD100069,2025-07-30,C0534,Lomé,Électronique,Produit_Électronique_3,206.39,1,0.07,8.23,Virement,Email,2.0,Livrée,206.39,191.94269999999997,0.15,28.791404999999994,18.561404999999993,2025-07,0,2,242.30669999999998
CMD100070,2025-07-28,C0176,Kinshasa,Électronique,Produit_Électronique_28,393.79,2,0.26,8.38,Virement,Instagram Ads,6.11,Livrée,787.58,582.8092,0.15,87.42138,72.93138,2025-07,0,22,4796.8914
CMD100071,2025-12-03,C0236,Kinshasa,Électronique,Produit_Électronique_17,620.91,1,0.06,3.45,Mobile Money,Google Ads,4.26,Livrée,620.91,583.6554,0.15,87.54831,79.83830999999999,2025-12,0,17,6270.5898
CMD100072,2025-07-12,C0003,Douala,Maison,Produit_Maison_24,84.37,2,0.09,6.74,Mobile Money,Google Ads,4.28,Livrée,168.74,153.5534,0.3,46.06602,35.04602,2025-07,0,26,8575.1465
CMD100073,2025-10-19,C0340,Libreville,Électronique,Produit_Électronique_43,121.03,1,0.07,7.89,Virement,Influenceur,10.79,Livrée,121.03,112.55789999999999,0.15,16.883684999999996,-1.7963150000000034,2025-10,0,20,4694.0243
CMD100074,2025-08-01,C0615,Libreville,Maison,Produit_Maison_21,80.42,1,0.1,6.86,Paiement à la livraison,Instagram Ads,13.37,Livrée,80.42,72.378,0.3,21.7134,1.4834000000000014,2025-08,0,2,139.338
CMD100075,2025-10-12,C1135,Dakar,Mode,Produit_Mode_43,38.11,2,0.05,4.77,Paiement à la livraison,Google Ads,5.69,Livrée,76.22,72.40899999999999,0.45,32.58405,22.124049999999997,2025-10,0,4,1523.9499999999998
CMD100076,2025-10-06,C1848,Dakar,Mode,Produit_Mode_26,17.46,3,0.09,6.64,Virement,Instagram Ads,9.98,Livrée,52.38,47.665800000000004,0.45,21.449610000000003,4.829610000000002,2025-10,0,2,86.09580000000001
CMD100077,2025-11-18,C0622,Kinshasa,Beauté,Produit_Beauté_38,22.91,1,0.1,3.48,Paiement à la livraison,Email,1.34,Livrée,22.91,20.619,0.5,10.3095,5.4895,2025-11,0,1,20.619
CMD100078,2025-12-03,C0952,Abidjan,Mode,Produit_Mode_33,19.56,3,0.17,4.35,Mobile Money,Instagram Ads,11.25,Livrée,58.67999999999999,48.70439999999999,0.45,21.91698,6.316980000000001,2025-12,0,2,139.11919999999998
CMD100079,2025-10-30,C1965,Douala,Beauté,Produit_Beauté_19,50.0,2,0.04,9.57,Carte,Email,0.73,Livrée,100.0,96.0,0.5,48.0,37.7,2025-10,0,4,1038.5552
CMD100080,2025-11-09,C1268,Kinshasa,Mode,Produit_Mode_44,23.34,3,0.26,3.57,Mobile Money,Influenceur,8.06,Livrée,70.02,51.8148,0.45,23.31666,11.686659999999998,2025-11,0,1,51.8148
CMD100081,2025-09-18,C0101,Douala,Mode,Produit_Mode_40,66.28,1,0.09,7.78,Paiement à la livraison,Google Ads,3.5,Retournée,66.28,60.314800000000005,0.45,27.14166,15.86166,2025-09,1,18,3839.1215
CMD100082,2025-07-19,C0322,Cotonou,Maison,Produit_Maison_32,185.86,1,0.03,2.98,Paiement à la livraison,Email,1.45,Livrée,185.86,180.2842,0.3,54.08526,49.65526,2025-07,0,19,2907.663
CMD100083,2025-10-11,C0335,Dakar,Maison,Produit_Maison_50,79.72,2,0.08,4.14,Carte,Influenceur,13.44,Livrée,159.44,146.6848,0.3,44.00544,26.425440000000002,2025-10,0,11,2542.6812
CMD100084,2025-10-17,C0356,Abidjan,Mode,Produit_Mode_36,8.77,3,0.24,8.4,Carte,Influenceur,18.31,Livrée,26.31,19.9956,0.45,8.99802,-17.711979999999997,2025-10,0,20,5941.2095
CMD100085,2025-09-02,C0248,Kinshasa,Mode,Produit_Mode_43,65.45,2,0.22,3.06,Paiement à la livraison,Google Ads,6.23,Livrée,130.9,102.102,0.45,45.9459,36.6559,2025-09,0,18,6660.048
CMD100086,2025-11-13,C1219,Dakar,Maison,Produit_Maison_40,158.01,1,0.05,2.85,Paiement à la livraison,Google Ads,5.49,Livrée,158.01,150.1095,0.3,45.032849999999996,36.69284999999999,2025-11,0,2,178.8915
CMD100087,2025-11-07,C0280,Abidjan,Électronique,Produit_Électronique_48,464.75,3,0.06,5.35,Mobile Money,Influenceur,18.63,Livrée,1394.25,1310.595,0.15,196.58925,172.60925,2025-11,0,21,4586.197
CMD100088,2025-10-30,C0384,Douala,Mode,Produit_Mode_41,50.0,3,0.15,6.53,Paiement à la livraison,Instagram Ads,7.89,Livrée,150.0,127.5,0.45,57.375,42.955,2025-10,0,18,6170.9803999999995
CMD100089,2025-08-31,C0039,Dakar,Mode,Produit_Mode_18,42.98,2,0.17,8.77,Mobile Money,Instagram Ads,7.7,Livrée,85.96,71.34679999999999,0.45,32.10605999999999,15.636059999999993,2025-08,0,18,3230.4673
CMD100090,2025-09-24,C0276,Kinshasa,Maison,Produit_Maison_15,100.8,1,0.23,8.55,Mobile Money,Instagram Ads,9.95,Livrée,100.8,77.616,0.3,23.2848,4.784800000000001,2025-09,0,16,3591.0651
CMD100091,2025-10-07,C1446,Dakar,Beauté,Produit_Beauté_27,43.39,2,0.08,7.52,Paiement à la livraison,Instagram Ads,8.15,Livrée,86.78,79.83760000000001,0.5,39.918800000000005,24.24880000000001,2025-10,0,8,2934.9114000000004
CMD100092,2025-09-23,C0212,Kinshasa,Mode,Produit_Mode_25,59.27,1,0.26,9.55,Paiement à la livraison,Google Ads,4.11,Retournée,59.27,43.8598,0.45,19.73691,6.076910000000001,2025-09,1,20,5856.5986
CMD100093,2025-11-27,C0040,Dakar,Électronique,Produit_Électronique_31,482.68,3,0.06,3.54,Paiement à la livraison,Influenceur,15.7,Livrée,1448.04,1361.1576,0.15,204.17364,184.93364000000003,2025-11,0,19,5062.6982
CMD100094,2025-07-02,C0611,Kinshasa,Électronique,Produit_Électronique_35,478.83,3,0.1,5.85,Paiement à la livraison,Email,1.48,Livrée,1436.49,1292.8410000000001,0.15,193.92615,186.59615000000002,2025-07,0,3,1415.6013
CMD100095,2025-11-17,C1838,Douala,Maison,Produit_Maison_32,50.0,2,0.01,7.01,Paiement à la livraison,Google Ads,6.95,Livrée,100.0,99.0,0.3,29.7,15.739999999999998,2025-11,0,4,298.4136
CMD100096,2025-07-08,C0342,Dakar,Maison,Produit_Maison_47,123.29,3,0.05,6.65,Paiement à la livraison,Instagram Ads,5.53,Livrée,369.87,351.37649999999996,0.3,105.41294999999998,93.23294999999997,2025-07,0,8,3080.7073
CMD100097,2025-08-12,C1883,Abidjan,Électronique,Produit_Électronique_26,527.86,2,0.04,4.3,Carte,Email,0.86,Retournée,1055.72,1013.4911999999999,0.15,152.02367999999998,146.86367999999996,2025-08,1,1,1013.4911999999999
CMD100098,2025-11-29,C0013,Kinshasa,Mode,Produit_Mode_9,39.48,1,0.08,9.86,Paiement à la livraison,Instagram Ads,14.56,Livrée,39.48,36.3216,0.45,16.34472,-8.075280000000001,2025-11,0,13,2969.3896
CMD100099,2025-10-27,C0133,Dakar,Maison,Produit_Maison_30,129.37,2,0.02,6.86,Mobile Money,Google Ads,7.71,Livrée,258.74,253.5652,0.3,76.06956,61.499559999999995,2025-10,0,16,4034.4497
CMD100100,2025-09-22,C0194,Kinshasa,Mode,Produit_Mode_17,32.24,1,0.26,6.78,Paiement à la livraison,Influenceur,12.29,Livrée,32.24,23.8576,0.45,10.73592,-8.33408,2025-09,0,16,5481.3348000000005
CMD100101,2025-07-21,C0383,Kinshasa,Mode,Produit_Mode_15,31.02,3,0.22,6.3,Virement,Google Ads,4.12,Livrée,93.06,72.58680000000001,0.45,32.664060000000006,22.244060000000005,2025-07,0,15,2794.3654
CMD100102,2025-12-14,C0333,Douala,Beauté,Produit_Beauté_16,20.1,1,0.26,4.25,Carte,Instagram Ads,5.35,Annulée,20.1,0.0,0.5,0.0,-5.35,2025-12,0,15,4237.3768
CMD100104,2025-12-19,C0111,Douala,Mode,Produit_Mode_11,58.08,2,0.27,3.26,Virement,Email,1.28,Livrée,116.16,84.79679999999999,0.45,38.158559999999994,33.618559999999995,2025-12,0,12,4472.3819
CMD100105,2025-12-03,C1531,Abidjan,Électronique,Produit_Électronique_20,441.18,1,0.07,8.97,Mobile Money,Google Ads,3.79,Livrée,441.18,410.2974,0.15,61.54460999999999,48.784609999999994,2025-12,0,2,658.4706
CMD100106,2025-07-28,C0159,Lomé,Électronique,Produit_Électronique_26,355.56,2,0.0,2.67,Paiement à la livraison,Influenceur,7.09,Livrée,711.12,711.12,0.15,106.66799999999999,96.90799999999999,2025-07,0,20,5705.1841
CMD100107,2025-12-31,C0303,Douala,Mode,Produit_Mode_45,27.5,3,0.05,5.46,Carte,Instagram Ads,13.19,Livrée,82.5,78.375,0.45,35.268750000000004,16.618750000000006,2025-12,0,16,3770.6794
CMD100108,2025-09-16,C1229,Abidjan,Beauté,Produit_Beauté_23,29.46,2,0.07,6.66,Carte,Influenceur,5.08,Livrée,58.92,54.7956,0.5,27.3978,15.6578,2025-09,0,2,1025.778
CMD100109,2025-11-14,C0189,Dakar,Mode,Produit_Mode_1,29.44,3,0.3,5.07,Virement,Influenceur,13.51,Retournée,88.32000000000001,61.824,0.45,27.8208,9.240799999999998,2025-11,1,18,3040.0008
CMD100110,2025-10-16,C0216,Lomé,Électronique,Produit_Électronique_41,536.39,3,0.04,3.31,Virement,Google Ads,5.13,Livrée,1609.17,1544.8032,0.15,231.72048,223.28048,2025-10,0,14,4275.9728000000005
CMD100111,2025-10-26,C0891,Dakar,Beauté,Produit_Beauté_40,50.0,2,0.02,7.85,Virement,Google Ads,7.82,Livrée,100.0,98.0,0.5,49.0,33.33,2025-10,0,8,1493.1255999999998
CMD100112,2025-11-15,C0952,Cotonou,Maison,Produit_Maison_21,46.13,2,0.02,8.91,Virement,Influenceur,9.9,Livrée,92.26,90.4148,0.3,27.12444,8.31444,2025-11,0,2,139.11919999999998
CMD100113,2025-09-01,C0177,Kinshasa,Mode,Produit_Mode_16,31.5,2,0.07,8.37,Paiement à la livraison,Instagram Ads,6.54,Livrée,63.0,58.589999999999996,0.45,26.365499999999997,11.4555,2025-09,0,14,1939.8356999999999
CMD100114,2025-10-27,C0342,Libreville,Électronique,Produit_Électronique_32,596.57,1,0.17,4.48,Carte,Instagram Ads,5.64,Livrée,596.57,495.1531,0.15,74.272965,64.152965,2025-10,0,8,3080.7073
CMD100115,2025-09-22,C0108,Kinshasa,Mode,Produit_Mode_22,62.52,2,0.15,9.62,Virement,Google Ads,6.28,Livrée,125.04,106.284,0.45,47.8278,31.927800000000005,2025-09,0,16,5010.4933
CMD100116,2025-09-10,C1436,Dakar,Maison,Produit_Maison_34,95.18,1,0.0,9.53,Carte,Email,0.82,Livrée,95.18,95.18,0.3,28.554000000000002,18.204,2025-09,0,4,546.4985
CMD100117,2025-08-18,C0368,Douala,Électronique,Produit_Électronique_45,452.41,1,0.06,7.52,Mobile Money,Instagram Ads,5.79,Livrée,452.41,425.2654,0.15,63.789809999999996,50.47980999999999,2025-08,0,26,4569.6683
CMD100118,2025-10-30,C1005,Kinshasa,Beauté,Produit_Beauté_6,50.0,2,0.06,7.0,Carte,Email,0.95,Livrée,100.0,94.0,0.5,47.0,39.05,2025-10,0,3,2356.6180000000004
CMD100119,2025-09-14,C0354,Dakar,Beauté,Produit_Beauté_31,32.4,3,0.27,6.21,Virement,Instagram Ads,10.48,Livrée,97.19999999999999,70.95599999999999,0.5,35.477999999999994,18.787999999999993,2025-09,0,16,5637.0548
CMD100120,2025-11-19,C0217,Kinshasa,Maison,Produit_Maison_23,78.74,3,0.0,6.34,Virement,Email,0.53,Livrée,236.21999999999997,236.21999999999997,0.3,70.86599999999999,63.99599999999998,2025-11,0,17,2204.0146
CMD100121,2025-12-27,C0156,Kinshasa,Mode,Produit_Mode_47,32.06,3,0.07,7.82,Carte,Google Ads,5.31,Livrée,96.18,89.4474,0.45,40.25133,27.121330000000004,2025-12,0,23,7029.902
CMD100122,2025-08-19,C0380,Abidjan,Beauté,Produit_Beauté_13,15.19,2,0.06,9.21,Mobile Money,Influenceur,17.97,Livrée,30.38,28.557199999999998,0.5,14.278599999999999,-12.9014,2025-08,0,17,2582.6647000000003
CMD100123,2025-08-25,C0566,Kinshasa,Mode,Produit_Mode_7,18.03,3,0.1,8.21,Virement,Instagram Ads,8.84,Livrée,54.09,48.681000000000004,0.45,21.906450000000003,4.856450000000002,2025-08,0,5,681.8586
CMD100124,2025-08-19,C0184,Dakar,Mode,Produit_Mode_46,19.22,2,0.26,6.12,Carte,Instagram Ads,9.92,Livrée,38.44,28.4456,0.45,12.80052,-3.2394799999999995,2025-08,0,20,7884.4231
CMD100125,2025-11-14,C0023,Douala,Mode,Produit_Mode_41,61.66,2,0.13,6.79,Mobile Money,Google Ads,3.05,Livrée,123.32,107.2884,0.45,48.27978,38.439780000000006,2025-11,0,12,1655.3348
